"estrato","processo","conv_legado","conv_corrigido","loglik_legado","loglik_corrigido","rrse_legado","rrse_corrigido","vicio_legado","vicio_corrigido","var_e_legado","var_e_corrigido"
"01 - Belo Horizonte","ma1",0,0,-80.46,-79.87,19.44,9.6,0.08,-0.03,1,1
"02 - Colar e Entorno Metropolitano de BH","ma1",0,0,-89.94,-88.53,11.86,4.64,0.24,0.22,1,1
"03 - Sul de Minas","arma11",0,0,-82.38,-82.35,8.58,8.43,-0.51,-0.52,1,1
"04 - Triângulo Mineiro","ma1",0,0,-77.09,-76.67,26.68,20.84,0.02,0.05,1,1
"05 - Zona da Mata","ma1",0,0,-82.2,-81.07,20.98,16.27,-0.35,-0.62,1,1
"06 - Norte de Minas","ma1",0,0,-96.05,-97.16,15.97,-1.23,0.05,0.02,1,1
"07 - Vale do Rio Doce","arma11",0,0,-94.05,-93.86,-1.02,-35.01,-1.37,-2.72,1,1
"08 - Central","ma1",0,0,-86.5,-84.02,14.27,7.94,-0.17,-0.5,1,1
