"estrato","processo","conv_legado","conv_corrigido","loglik_legado","loglik_corrigido","rrse_legado","rrse_corrigido","vicio_legado","vicio_corrigido","var_e_legado","var_e_corrigido"
"01 - Belo Horizonte","ma1",0,0,-202.54,-203.61,36.27,23.01,0.01,0.01,0.595,0.468
"02 - Colar e Entorno Metropolitano de BH","ma1",0,0,-225.44,-225.24,33.36,16.1,0.18,0.16,0.582,0.668
"03 - Sul de Minas","arma11",0,0,-205.84,-205.94,28.87,31.22,-0.55,-0.47,0.504,0.464
"04 - Triângulo Mineiro","ma1",0,0,-199.33,-200.14,47.83,40.07,-0.17,-0.35,0.356,0.445
"05 - Zona da Mata","ma1",0,0,-199.27,-198.38,42.02,29.21,-0.46,-1.04,0.39,0.586
"06 - Norte de Minas","ma1",0,0,-215.82,-217.37,38.82,33.12,-0.03,0.15,0.539,0.076
"07 - Vale do Rio Doce","ar1",0,0,-206.05,-206.05,48.35,48.35,-0.23,-0.23,0.187,0.187
"08 - Central","ma1",0,0,-204.96,-203.89,45.82,29.65,-0.04,-0.28,0.273,0.543
