"estrato","sigma2_R","rrse","vicio"
"01 - Belo Horizonte",2.3101,-17.52,-0.53
"02 - Colar e Entorno Metropolitano de BH",8.8926,-11.66,-0.23
"03 - Sul de Minas",5.2306,49.47,-0.2
"04 - Triângulo Mineiro",0.2454,33.53,-1.86
"05 - Zona da Mata",21.5254,21.68,-0.85
"06 - Norte de Minas",0.5585,5.83,-2.39
"07 - Vale do Rio Doce",0.4908,39.76,-1.21
"08 - Central",0.5726,69.36,-0.07
