"indicador","estrato","versao","lag","fac","facp"
"taxa","03-Sul de Minas","legado",5,-0.096,-0.0672
"taxa","03-Sul de Minas","legado",6,-0.0659,-0.0027
"taxa","03-Sul de Minas","legado",7,-0.0966,-0.0708
"taxa","03-Sul de Minas","legado",8,-0.0627,-0.0052
"taxa","03-Sul de Minas","legado",9,-0.0717,-0.0527
"taxa","03-Sul de Minas","legado",10,6e-04,0.0447
"taxa","03-Sul de Minas","legado",11,0.0051,-0.0133
"taxa","03-Sul de Minas","legado",12,-0.0934,-0.1257
"taxa","04-Triângulo Mineiro","padrao",1,0.1989,0.1989
"taxa","04-Triângulo Mineiro","padrao",2,0.0232,-0.017
"taxa","04-Triângulo Mineiro","padrao",3,0.104,0.1069
"taxa","04-Triângulo Mineiro","padrao",4,0.0187,-0.0241
"taxa","04-Triângulo Mineiro","padrao",5,-0.0032,-8e-04
"taxa","04-Triângulo Mineiro","padrao",6,0.0393,0.0314
"taxa","04-Triângulo Mineiro","padrao",7,-0.0269,-0.0431
"taxa","04-Triângulo Mineiro","padrao",8,0.0055,0.0232
"taxa","04-Triângulo Mineiro","padrao",9,-0.0557,-0.0739
"taxa","04-Triângulo Mineiro","padrao",10,-0.1779,-0.1533
"taxa","04-Triângulo Mineiro","padrao",11,-0.186,-0.135
"taxa","04-Triângulo Mineiro","padrao",12,-0.0324,0.0343
"taxa","04-Triângulo Mineiro","legado",1,0.2027,0.2027
"taxa","04-Triângulo Mineiro","legado",2,0.0244,-0.0175
"taxa","04-Triângulo Mineiro","legado",3,0.1107,0.1139
"taxa","04-Triângulo Mineiro","legado",4,0.0203,-0.0263
"taxa","04-Triângulo Mineiro","legado",5,-0.0036,-9e-04
"taxa","04-Triângulo Mineiro","legado",6,0.0444,0.0356
"taxa","04-Triângulo Mineiro","legado",7,-0.0317,-0.0507
"taxa","04-Triângulo Mineiro","legado",8,0.0053,0.0266
"taxa","04-Triângulo Mineiro","legado",9,-0.0681,-0.09
"taxa","04-Triângulo Mineiro","legado",10,-0.2216,-0.1922
"taxa","04-Triângulo Mineiro","legado",11,-0.2381,-0.1775
"taxa","04-Triângulo Mineiro","legado",12,-0.0446,0.0393
"taxa","05-Mata de Minas Gerais","padrao",1,0.2039,0.2039
"taxa","05-Mata de Minas Gerais","padrao",2,-0.0186,-0.0628
"taxa","05-Mata de Minas Gerais","padrao",3,-0.0089,0.0083
"taxa","05-Mata de Minas Gerais","padrao",4,0.0382,0.0391
"taxa","05-Mata de Minas Gerais","padrao",5,-0.157,-0.1824
"taxa","05-Mata de Minas Gerais","padrao",6,-0.278,-0.2191
"taxa","05-Mata de Minas Gerais","padrao",7,-0.0407,0.0533
"taxa","05-Mata de Minas Gerais","padrao",8,0.0202,-0.0044
"taxa","05-Mata de Minas Gerais","padrao",9,0.0262,0.0354
"taxa","05-Mata de Minas Gerais","padrao",10,0.0326,0.0325
"taxa","05-Mata de Minas Gerais","padrao",11,-0.0095,-0.1052
"taxa","05-Mata de Minas Gerais","padrao",12,0.1086,0.0803
"taxa","05-Mata de Minas Gerais","legado",1,0.2079,0.2079
"taxa","05-Mata de Minas Gerais","legado",2,-0.0197,-0.0657
"taxa","05-Mata de Minas Gerais","legado",3,-0.0097,0.0087
"taxa","05-Mata de Minas Gerais","legado",4,0.0413,0.0423
"taxa","05-Mata de Minas Gerais","legado",5,-0.1724,-0.2009
"taxa","05-Mata de Minas Gerais","legado",6,-0.3133,-0.2493
"taxa","05-Mata de Minas Gerais","legado",7,-0.0456,0.0629
"taxa","05-Mata de Minas Gerais","legado",8,0.0261,-0.0023
"taxa","05-Mata de Minas Gerais","legado",9,0.0339,0.0443
"taxa","05-Mata de Minas Gerais","legado",10,0.0414,0.0433
"taxa","05-Mata de Minas Gerais","legado",11,-0.012,-0.1342
"taxa","05-Mata de Minas Gerais","legado",12,0.1413,0.1081
"taxa","06-Norte de Minas","padrao",1,0.3937,0.3937
"taxa","06-Norte de Minas","padrao",2,0.1243,-0.0363
"taxa","06-Norte de Minas","padrao",3,0.1035,0.0795
"taxa","06-Norte de Minas","padrao",4,0.0341,-0.0371
"taxa","06-Norte de Minas","padrao",5,0.0309,0.0322
"taxa","06-Norte de Minas","padrao",6,0.043,0.0194
"taxa","06-Norte de Minas","padrao",7,0.071,0.0558
"taxa","06-Norte de Minas","padrao",8,0.0731,0.0256
"taxa","06-Norte de Minas","padrao",9,-0.055,-0.1184
"taxa","06-Norte de Minas","padrao",10,0.024,0.0971
"taxa","06-Norte de Minas","padrao",11,-0.0181,-0.0795
"taxa","06-Norte de Minas","padrao",12,-0.0083,0.0458
"taxa","06-Norte de Minas","legado",1,0.4011,0.4011
"taxa","06-Norte de Minas","legado",2,0.1286,-0.0384
"taxa","06-Norte de Minas","legado",3,0.1094,0.085
"taxa","06-Norte de Minas","legado",4,0.0363,-0.0411
"taxa","06-Norte de Minas","legado",5,0.0336,0.0361
"taxa","06-Norte de Minas","legado",6,0.0479,0.0215
"taxa","06-Norte de Minas","legado",7,0.0815,0.0652
"taxa","06-Norte de Minas","legado",8,0.0861,0.0307
"taxa","06-Norte de Minas","legado",9,-0.0672,-0.145
"taxa","06-Norte de Minas","legado",10,0.0293,0.1228
"taxa","06-Norte de Minas","legado",11,-0.0219,-0.103
"taxa","06-Norte de Minas","legado",12,-0.0073,0.067
"taxa","07-Vale do Rio Doce","padrao",1,0.3764,0.3764
"taxa","07-Vale do Rio Doce","padrao",2,0.2826,0.1642
"taxa","07-Vale do Rio Doce","padrao",3,0.1856,0.0418
"taxa","07-Vale do Rio Doce","padrao",4,0.052,-0.0762
"taxa","07-Vale do Rio Doce","padrao",5,0.0428,0.0081
"taxa","07-Vale do Rio Doce","padrao",6,-0.0633,-0.0939
"taxa","07-Vale do Rio Doce","padrao",7,-0.0379,0.01
"taxa","07-Vale do Rio Doce","padrao",8,-0.0507,-0.0143
"taxa","07-Vale do Rio Doce","padrao",9,-0.1384,-0.1126
"taxa","07-Vale do Rio Doce","padrao",10,-0.0526,0.0378
"taxa","07-Vale do Rio Doce","padrao",11,-0.0525,0.0102
"taxa","07-Vale do Rio Doce","padrao",12,0.0031,0.0451
"taxa","07-Vale do Rio Doce","legado",1,0.3838,0.3838
"taxa","07-Vale do Rio Doce","legado",2,0.2939,0.1719
"taxa","07-Vale do Rio Doce","legado",3,0.197,0.0455
"taxa","07-Vale do Rio Doce","legado",4,0.0569,-0.0822
"taxa","07-Vale do Rio Doce","legado",5,0.0488,0.0098
"taxa","07-Vale do Rio Doce","legado",6,-0.07,-0.1066
"taxa","07-Vale do Rio Doce","legado",7,-0.0398,0.0142
"taxa","07-Vale do Rio Doce","legado",8,-0.0561,-0.0162
"taxa","07-Vale do Rio Doce","legado",9,-0.1622,-0.1355
"taxa","07-Vale do Rio Doce","legado",10,-0.0578,0.0508
"taxa","07-Vale do Rio Doce","legado",11,-0.0583,0.0169
"taxa","07-Vale do Rio Doce","legado",12,0.0127,0.0627
"taxa","08-Central","padrao",1,0.3067,0.3067
"taxa","08-Central","padrao",2,0.0443,-0.055
"taxa","08-Central","padrao",3,0.0676,0.0776
"taxa","08-Central","padrao",4,0.0956,0.0593
"taxa","08-Central","padrao",5,0.046,-7e-04
"taxa","08-Central","padrao",6,-0.0637,-0.0869
"taxa","08-Central","padrao",7,0.0115,0.0576
"taxa","08-Central","padrao",8,0.0914,0.0683
"taxa","08-Central","padrao",9,0.0931,0.0539
"taxa","08-Central","padrao",10,0.0159,-0.021
"taxa","08-Central","padrao",11,-0.0724,-0.0852
"taxa","08-Central","padrao",12,0.0117,0.0385
"taxa","08-Central","legado",1,0.3127,0.3127
"taxa","08-Central","legado",2,0.046,-0.0574
"taxa","08-Central","legado",3,0.071,0.082
"taxa","08-Central","legado",4,0.1026,0.0638
"taxa","08-Central","legado",5,0.0499,-0.0012
"taxa","08-Central","legado",6,-0.0731,-0.0994
"taxa","08-Central","legado",7,0.0114,0.0658
"taxa","08-Central","legado",8,0.1058,0.0804
"taxa","08-Central","legado",9,0.1081,0.0618
"taxa","08-Central","legado",10,0.0149,-0.0288
"taxa","08-Central","legado",11,-0.097,-0.1123
"taxa","08-Central","legado",12,0.0126,0.0518
