"indicador","estrato","formulacao","invertivel","loglik","bic","var_e","rrse","vicio"
"ocupados","01 - Belo Horizonte","AR(2)",NA,-235.11,490,0,67.54,0.12
"ocupados","02 - Colar e Entorno","AR(1)",NA,-248.2,516.2,2.061,-22.37,-0.33
"ocupados","02 - Colar e Entorno","AR(2)",NA,-252.31,524.4,0.178,48.74,-0.1
"ocupados","03 - Sul de Minas","AR(1)",NA,-229.94,479.6,0.276,49.77,-0.24
"ocupados","03 - Sul de Minas","AR(2)",NA,-234.12,488,0.264,49.47,-0.24
"ocupados","04 - Triângulo Mineiro","AR(1)",NA,-252.14,524,0.585,33.78,-1.96
"ocupados","04 - Triângulo Mineiro","AR(2)",NA,-252.37,524.5,0.959,32.26,-2.64
"ocupados","05 - Zona da Mata","AR(1)",NA,-238.29,496.3,0.421,38.87,-0.29
"ocupados","05 - Zona da Mata","AR(2)",NA,-243.51,506.8,0.217,50.94,-0.35
"ocupados","06 - Norte de Minas","AR(1)",NA,-251.43,522.6,0.841,15.62,-1.1
"ocupados","06 - Norte de Minas","AR(2)",NA,-255.34,530.4,0.646,22.29,-0.78
"ocupados","07 - Vale do Rio Doce","AR(1)",NA,-228.74,477.2,0.448,40.03,-1.48
"ocupados","07 - Vale do Rio Doce","AR(2)",NA,-233.74,487.2,0.437,34.57,-1.61
"ocupados","08 - Central","AR(1)",NA,-251.75,523.2,0.053,69.51,-0.08
"ocupados","08 - Central","AR(2)",NA,-256.39,532.5,0.03,70.44,-0.19
"taxa","01 - Belo Horizonte","AR(1)",NA,-71.83,163.4,0.862,16.37,-0.02
"taxa","01 - Belo Horizonte","AR(2)",NA,-77.18,174.1,0.775,17.24,-0.06
"taxa","01 - Belo Horizonte","ARMA(1,1)",NA,-68.72,157.2,0,-12.16,-8.02
"taxa","01 - Belo Horizonte","MA(1)",TRUE,-73.83,167.4,0.567,26.89,0.09
"taxa","01 - Belo Horizonte","MA(2)",TRUE,-79.21,178.2,0.871,14.07,-0.02
"taxa","01 - Belo Horizonte","MA(3)",FALSE,-85.79,191.3,0.605,22.87,0.02
"taxa","01 - Belo Horizonte","MA(4)",FALSE,-90.71,201.2,0.504,26.65,0.2
"taxa","02 - Colar e Entorno","AR(1)",NA,-80.51,180.8,0.465,28.75,0.14
"taxa","02 - Colar e Entorno","AR(2)",NA,-86.43,192.6,0,65.91,-0.01
"taxa","02 - Colar e Entorno","ARMA(1,1)",NA,-92.34,204.4,-4.731,-407.99,-9.97
"taxa","02 - Colar e Entorno","MA(1)",TRUE,-82.2,184.2,0.62,21.88,0.18
