"indicador","estrato","formulacao","npar","loglik","aicc","bic","ljung","eqm1","rrse"
"taxa","07-Vale do Rio Doce","Ruído branco",4,-86.81,182.5,189.4,0.0815,2.706,14.83
"taxa","07-Vale do Rio Doce","AR(1)",5,-88.78,188.9,197.3,0.3597,2.434,7.28
"taxa","07-Vale do Rio Doce","AR(2)",6,-94.19,202.2,212.1,0.3206,2.467,5.27
"taxa","07-Vale do Rio Doce","AR(3)",7,-99.28,215.1,226.2,0.3584,2.576,4.45
"taxa","07-Vale do Rio Doce","AR(4)",8,-105.04,229.4,241.7,0.1046,2.504,4.2
"taxa","07-Vale do Rio Doce","AR(5)",9,-108.96,240.2,253.5,0.1115,2.34,2.45
"taxa","07-Vale do Rio Doce","AR(6)",10,-117.33,260,274.2,0.1727,2.43,-225.72
"taxa","07-Vale do Rio Doce","MA(1)",5,-89.45,190.2,198.7,0.3259,2.373,9.56
"taxa","07-Vale do Rio Doce","MA(2)",6,-97.2,208.3,218.1,0.2734,2.548,5.32
"taxa","07-Vale do Rio Doce","MA(3)",7,-103.12,222.8,233.9,0.2963,2.56,4.43
"taxa","07-Vale do Rio Doce","MA(4)",8,-107.88,235.1,247.4,0.1077,2.345,4.48
"taxa","07-Vale do Rio Doce","MA(5)",9,-114.25,250.8,264.1,0.125,2.35,-238.58
"taxa","07-Vale do Rio Doce","MA(6)",10,-120.34,266,280.2,0.1473,2.447,-633.05
"taxa","07-Vale do Rio Doce","MA(4) desenho",8,-104.95,229.2,241.5,0.6072,2.128,-1.02
