"indicador","estrato","formulacao","npar","loglik","aicc","bic","ljung","eqm1","rrse"
"taxa","02-Colar e Entorno metropolitano de BH","Ruído branco",4,-78.55,166,172.9,0.0123,2.207,13.12
"taxa","02-Colar e Entorno metropolitano de BH","AR(1)",5,-81.4,174.1,182.5,0.0273,2.105,7.19
"taxa","02-Colar e Entorno metropolitano de BH","AR(2)",6,-88.35,190.6,200.4,0.0144,2.175,5.47
"taxa","02-Colar e Entorno metropolitano de BH","AR(3)",7,-94.5,205.5,216.7,0.003,2.276,3.79
"taxa","02-Colar e Entorno metropolitano de BH","AR(4)",8,-99.52,218.4,230.7,0.0025,2.306,3
"taxa","02-Colar e Entorno metropolitano de BH","AR(5)",9,-105.58,233.4,246.7,0.0013,2.381,-1.44
"taxa","02-Colar e Entorno metropolitano de BH","AR(6)",10,-110.5,246.4,260.5,0.0014,2.358,-21.17
"taxa","02-Colar e Entorno metropolitano de BH","MA(1)",5,-83.03,177.4,185.8,0.0319,2.095,7.58
"taxa","02-Colar e Entorno metropolitano de BH","MA(2)",6,-91.29,196.4,206.3,0.0028,2.249,4
"taxa","02-Colar e Entorno metropolitano de BH","MA(3)",7,-97.47,211.5,222.6,0.002,2.303,2.99
"taxa","02-Colar e Entorno metropolitano de BH","MA(4)",8,-103.63,226.6,238.9,0.001,2.379,2.21
"taxa","02-Colar e Entorno metropolitano de BH","MA(5)",9,-109.73,241.7,255,5e-04,2.445,-238.94
"taxa","02-Colar e Entorno metropolitano de BH","MA(6)",10,-114.85,255.1,269.2,0.0024,2.348,-694.14
"taxa","02-Colar e Entorno metropolitano de BH","MA(4) desenho",8,-98.98,217.3,229.6,0.0097,1.896,-4.39
