"indicador","estrato","formulacao","npar","loglik","aicc","bic","ljung","eqm1","rrse"
"desocupados","07-Vale do Rio Doce","Ruído branco",4,-199.03,406.9,413.9,0.1871,310.348,18.83
"desocupados","07-Vale do Rio Doce","AR(1)",5,-199.9,411.1,419.6,0.8272,278.501,6.14
"desocupados","07-Vale do Rio Doce","AR(2)",6,-204.53,422.9,432.8,0.7847,272.589,4.63
"desocupados","07-Vale do Rio Doce","AR(3)",7,-209.38,435.3,446.4,0.7876,278.496,3.73
"desocupados","07-Vale do Rio Doce","AR(4)",8,-212.98,445.3,457.6,0.6879,275.899,3
"desocupados","07-Vale do Rio Doce","AR(5)",9,-219.06,460.4,473.7,0.5221,260.109,-0.98
"desocupados","07-Vale do Rio Doce","AR(6)",10,-227.59,480.5,494.7,0.6032,278.389,-95.92
"desocupados","07-Vale do Rio Doce","MA(3)",7,-214.7,445.9,457.1,0.5,288.822,3.33
"desocupados","07-Vale do Rio Doce","MA(4)",8,-218.31,456,468.2,0.7456,287.98,4.7
"desocupados","07-Vale do Rio Doce","MA(5)",9,-225.14,472.6,485.8,0.5469,286.165,-38.99
"desocupados","07-Vale do Rio Doce","MA(6)",10,-231.15,487.7,501.8,0.5999,295.382,-145.29
"desocupados","07-Vale do Rio Doce","ARMA(2,1)",7,-203.97,424.5,435.6,0.7968,272.812,4.49
"desocupados","07-Vale do Rio Doce","ARMA(1,2)",7,-206.54,429.6,440.7,0.7968,273.48,4.45
"desocupados","07-Vale do Rio Doce","MA(4) desenho",8,-217.65,454.7,466.9,0.8483,283.369,0.9
