"indicador","estrato","formulacao","npar","loglik","aicc","bic","ljung","eqm1","rrse"
"taxa","01-Belo Horizonte","Ruído branco",4,-68.6,146,153,0.7997,1.539,19.7
"taxa","01-Belo Horizonte","AR(1)",5,-71.89,155.1,163.5,0.9308,1.476,11.93
"taxa","01-Belo Horizonte","AR(2)",6,-77.23,168.3,178.2,0.9885,1.449,9.84
"taxa","01-Belo Horizonte","AR(3)",7,-81.08,178.7,189.8,0.9839,1.461,9.27
"taxa","01-Belo Horizonte","AR(4)",8,-87.1,193.6,205.8,0.9438,1.4,9.21
"taxa","01-Belo Horizonte","AR(5)",9,-93.33,208.9,222.2,0.9081,1.402,-14.89
"taxa","01-Belo Horizonte","AR(6)",10,-101.1,227.6,241.7,0.6578,1.401,-629.41
"taxa","01-Belo Horizonte","MA(1)",5,-74.02,159.3,167.8,0.8297,1.514,12.63
"taxa","01-Belo Horizonte","MA(2)",6,-79.26,172.4,182.2,0.9845,1.423,10.2
"taxa","01-Belo Horizonte","MA(3)",7,-85.97,188.5,199.6,0.9841,1.452,8.88
"taxa","01-Belo Horizonte","MA(4)",8,-91.17,201.7,214,0.9301,1.41,9.02
"taxa","01-Belo Horizonte","MA(5)",9,-97.51,217.3,230.6,0.909,1.419,-280.85
"taxa","01-Belo Horizonte","MA(6)",10,-103.79,232.9,247.1,0.6516,1.432,-859.25
"taxa","01-Belo Horizonte","MA(4) desenho",8,-92.53,204.4,216.7,0.4515,1.434,-3.93
