"indicador","estrato","formulacao","npar","loglik","aicc","bic","ljung","eqm1","rrse"
"ocupados","03-Sul de Minas","Ruído branco",4,-244.97,498.8,505.7,1e-04,1618.595,47.6
"ocupados","03-Sul de Minas","AR(1)",5,-234.14,479.6,488,0.947,1043.793,19.28
"ocupados","03-Sul de Minas","AR(2)",6,-238.08,490,499.9,0.967,1046.631,18.86
"ocupados","03-Sul de Minas","AR(3)",7,-244.53,505.6,516.7,0.9615,1084.977,18.27
"ocupados","03-Sul de Minas","AR(4)",8,-251.84,523,535.3,0.9171,1728.612,14.62
"ocupados","03-Sul de Minas","AR(5)",9,-259.78,541.9,555.1,0.6904,2401.59,-8.38
"ocupados","03-Sul de Minas","AR(6)",10,-265.79,557,571.1,0.3636,1505.805,-89.76
"ocupados","03-Sul de Minas","ARMA(2,1)",7,-240.29,497.1,508.2,0.8934,1075.178,-33.46
"ocupados","03-Sul de Minas","MA(4) desenho",8,-253.74,526.8,539.1,0.9309,12879.989,32.16
