"indicador","estrato","formulacao","npar","loglik","aicc","bic","ljung","eqm1","rrse"
"ocupados","08-Central","Ruído branco",4,-258.91,526.7,533.6,0.0171,4376.309,32.3
"ocupados","08-Central","AR(1)",5,-254.01,519.3,527.8,0.6931,2776.742,15.98
"ocupados","08-Central","AR(2)",6,-259.22,532.3,542.1,0.5952,2817.166,11.74
"ocupados","08-Central","AR(3)",7,-266.04,548.6,559.7,0.5345,3154.75,2.11
"ocupados","08-Central","AR(4)",8,-272.94,565.2,577.5,0.5569,4215.638,-1.03
"ocupados","08-Central","AR(5)",9,-281.11,584.5,597.8,0.3675,3738.849,-77.82
"ocupados","08-Central","AR(6)",10,-290,605.4,619.5,0.0777,3951.803,-97.27
"ocupados","08-Central","MA(4) desenho",8,-272.71,564.8,577,0.5935,12467.874,8.57
