"indicador","estrato","formulacao","npar","loglik","aicc","bic","ljung","eqm1","rrse"
"taxa","03-Sul de Minas","Ruído branco",4,-73.75,156.4,163.3,0.0117,1.777,14.89
"taxa","03-Sul de Minas","AR(1)",5,-75.54,162.4,170.8,0.0799,1.562,8.78
"taxa","03-Sul de Minas","AR(2)",6,-76.82,167.5,177.3,0.0872,1.578,8.5
"taxa","03-Sul de Minas","AR(3)",7,-84.05,184.6,195.8,0.0803,1.652,7.83
"taxa","03-Sul de Minas","AR(4)",8,-91.88,203.1,215.4,0.0426,1.675,7.1
"taxa","03-Sul de Minas","AR(5)",9,-98.21,218.7,232,0.0696,1.853,-42.76
"taxa","03-Sul de Minas","AR(6)",10,-100.59,226.5,240.7,0.0542,1.887,-273.9
"taxa","03-Sul de Minas","MA(1)",5,-76.45,164.2,172.7,0.0861,1.545,10.43
"taxa","03-Sul de Minas","MA(2)",6,-83.01,179.9,189.7,0.1315,1.667,8.07
"taxa","03-Sul de Minas","MA(3)",7,-88.93,194.4,205.5,0.1125,1.668,7.63
"taxa","03-Sul de Minas","MA(4)",8,-94.74,208.8,221.1,0.0356,1.642,7.25
"taxa","03-Sul de Minas","MA(5)",9,-100.96,224.2,237.5,0.0593,1.711,-199.64
"taxa","03-Sul de Minas","MA(6)",10,-106.27,237.9,252,0.0445,1.632,-637.66
"taxa","03-Sul de Minas","MA(4) desenho",8,-94.26,207.9,220.1,0.1929,1.561,-3.12
