"indicador","estrato","formulacao","npar","loglik","aicc","bic","ljung","eqm1","rrse"
"taxa","05-Mata de Minas Gerais","Ruído branco",4,-71.16,151.2,158.1,0.389,1.498,23.43
"taxa","05-Mata de Minas Gerais","AR(1)",5,-73.44,158.2,166.6,0.2882,1.349,17.39
"taxa","05-Mata de Minas Gerais","AR(2)",6,-77.63,169.1,179,0.3169,1.379,18.62
"taxa","05-Mata de Minas Gerais","AR(3)",7,-81.99,180.5,191.6,0.3399,1.386,17.85
"taxa","05-Mata de Minas Gerais","AR(4)",8,-89.93,199.2,211.5,0.4579,1.444,16.82
"taxa","05-Mata de Minas Gerais","AR(5)",9,-97.14,216.6,229.8,0.5633,1.511,-259.36
"taxa","05-Mata de Minas Gerais","AR(6)",10,-104.7,234.8,248.9,0.5382,1.649,-956.14
"taxa","05-Mata de Minas Gerais","MA(1)",5,-75.6,162.5,171,0.3549,1.372,17.39
"taxa","05-Mata de Minas Gerais","MA(2)",6,-80.36,174.6,184.4,0.3595,1.367,18.64
"taxa","05-Mata de Minas Gerais","MA(3)",7,-86.87,190.3,201.4,0.334,1.383,17.98
"taxa","05-Mata de Minas Gerais","MA(4)",8,-93.26,205.9,218.1,0.449,1.411,17.02
"taxa","05-Mata de Minas Gerais","MA(5)",9,-98.61,219.5,232.8,0.5515,1.405,-332.79
"taxa","05-Mata de Minas Gerais","MA(6)",10,-105.22,235.8,249.9,0.5585,1.551,-836.67
"taxa","05-Mata de Minas Gerais","MA(4) desenho",8,-92.17,203.7,215.9,0.5072,1.353,1
