"indicador","estrato","formulacao","npar","loglik","aicc","bic","ljung","eqm1","rrse"
"ocupados","07-Vale do Rio Doce","Ruído branco",4,-243.2,495.2,502.2,0,1725.304,51.66
"ocupados","07-Vale do Rio Doce","AR(1)",5,-230.71,472.7,481.2,0.6971,995.615,25.01
"ocupados","07-Vale do Rio Doce","AR(2)",6,-235.38,484.6,494.5,0.7455,1023.747,20.83
"ocupados","07-Vale do Rio Doce","AR(3)",7,-240.08,496.7,507.8,0.7601,1081.415,20.31
"ocupados","07-Vale do Rio Doce","AR(4)",8,-249.13,517.6,529.9,0.831,1280.437,-5.77
"ocupados","07-Vale do Rio Doce","AR(5)",9,-256.15,534.6,547.9,0.1343,1382.309,-52.4
"ocupados","07-Vale do Rio Doce","AR(6)",10,-262.78,550.9,565.1,0.1654,1810.45,-191.1
"ocupados","07-Vale do Rio Doce","ARMA(1,1)",6,-230.86,475.6,485.4,0.7064,1019.729,20.49
"ocupados","07-Vale do Rio Doce","MA(4) desenho",8,-253.81,527,539.2,0.2092,7305.707,20.01
