"indicador","estrato","formulacao","npar","loglik","aicc","bic","ljung","eqm1","rrse"
"desocupados","04-Triângulo Mineiro","Ruído branco",4,-190.8,390.5,397.4,0.3851,247.035,28.64
"desocupados","04-Triângulo Mineiro","AR(1)",5,-194.63,400.6,409,0.4573,249.247,21.76
"desocupados","04-Triângulo Mineiro","AR(2)",6,-198.62,411.1,420.9,0.5165,249.68,21.2
"desocupados","04-Triângulo Mineiro","AR(3)",7,-205.8,428.1,439.3,0.5881,250.078,20.62
"desocupados","04-Triângulo Mineiro","AR(4)",8,-209.45,438.2,450.5,0.7419,252.692,19.72
"desocupados","04-Triângulo Mineiro","AR(5)",9,-214.18,450.7,463.9,0.7713,261.428,19.52
"desocupados","04-Triângulo Mineiro","AR(6)",10,-222.52,470.4,484.5,0.8616,277.35,3.97
"desocupados","04-Triângulo Mineiro","MA(1)",5,-196.56,404.4,412.9,0.4037,252.954,22.52
"desocupados","04-Triângulo Mineiro","MA(2)",6,-202.92,419.7,429.5,0.4858,251.022,21.31
"desocupados","04-Triângulo Mineiro","MA(3)",7,-208.22,433,444.1,0.663,246.495,20.65
"desocupados","04-Triângulo Mineiro","MA(4)",8,-214.71,448.8,461,0.7191,282.553,19.88
"desocupados","04-Triângulo Mineiro","MA(5)",9,-221.18,464.7,477.9,0.8458,291.622,-17.96
"desocupados","04-Triângulo Mineiro","MA(6)",10,-227.6,480.6,494.7,0.6879,273.537,-120.13
"desocupados","04-Triângulo Mineiro","MA(4) desenho",8,-215.86,451.1,463.3,0.0026,304.373,3.68
