"indicador","estrato","formulacao","npar","loglik","aicc","bic","ljung","eqm1","rrse"
"taxa","06-Norte de Minas","Ruído branco",4,-83.59,176,183,0.091,2.515,16.37
"taxa","06-Norte de Minas","AR(1)",5,-87.08,185.5,193.9,0.0044,2.438,6.7
"taxa","06-Norte de Minas","AR(2)",6,-90.97,195.8,205.6,0.0051,2.465,6.09
"taxa","06-Norte de Minas","AR(3)",7,-97.24,211,222.1,0.0467,2.642,4.66
"taxa","06-Norte de Minas","AR(4)",8,-102.84,225,237.3,0.3207,2.653,2.69
"taxa","06-Norte de Minas","AR(5)",9,-109.43,241.1,254.4,0.0058,2.765,-29.2
"taxa","06-Norte de Minas","AR(6)",10,-113.78,252.9,267.1,0.0206,2.744,-150.13
"taxa","06-Norte de Minas","MA(1)",5,-90.2,191.7,200.2,0.0974,2.689,3.88
"taxa","06-Norte de Minas","MA(2)",6,-94.21,202.3,212.1,0.0425,2.443,5.51
"taxa","06-Norte de Minas","MA(3)",7,-100.47,217.5,228.6,0.0085,2.6,5.03
"taxa","06-Norte de Minas","MA(4)",8,-106.35,232,244.3,0.2244,2.918,3.27
"taxa","06-Norte de Minas","MA(5)",9,-113.21,248.7,262,0.0087,2.942,-295.32
"taxa","06-Norte de Minas","MA(6)",10,-118.52,262.4,276.6,0.0057,2.824,-817.3
"taxa","06-Norte de Minas","MA(4) desenho",8,-104.04,227.4,239.7,0.1706,2.604,-1.28
