"indicador","estrato","formulacao","npar","loglik","aicc","bic","ljung","eqm1","rrse"
"desocupados","08-Central","Ruído branco",4,-196.12,401.1,408,9e-04,337.947,19.42
"desocupados","08-Central","AR(1)",5,-197.71,406.7,415.2,0.0246,308.105,14.72
"desocupados","08-Central","AR(2)",6,-202.01,417.9,427.7,0.0074,305.482,15.03
"desocupados","08-Central","AR(3)",7,-208.18,432.9,444,0.0926,316.824,11.67
"desocupados","08-Central","AR(4)",8,-213.41,446.2,458.4,0.1054,316.901,10.47
"desocupados","08-Central","AR(5)",9,-219.57,461.4,474.7,0.1242,349.777,-4.31
"desocupados","08-Central","AR(6)",10,-224.6,474.6,488.7,4e-04,295.158,-104.44
"desocupados","08-Central","MA(1)",5,-198.81,408.9,417.4,0.012,299.95,15.86
"desocupados","08-Central","MA(2)",6,-204.61,423.1,432.9,0.0055,302.501,15.23
"desocupados","08-Central","MA(3)",7,-210.7,437.9,449.1,0.0079,302.105,14.19
"desocupados","08-Central","MA(4)",8,-217.08,453.5,465.8,0.0185,448.774,9.15
"desocupados","08-Central","MA(5)",9,-223.83,469.9,483.2,0.1365,382.26,-31.3
"desocupados","08-Central","MA(6)",10,-227.66,480.7,494.8,5e-04,286.243,-145.34
"desocupados","08-Central","MA(4) desenho",8,-213.45,446.3,458.5,0.6161,325.392,2.45
