"indicador","estrato","formulacao","npar","loglik","aicc","bic","ljung","eqm1","rrse"
"desocupados","05-Mata de Minas Gerais","Ruído branco",4,-189.14,387.1,394.1,0.294,229.159,23.62
"desocupados","05-Mata de Minas Gerais","AR(1)",5,-191.16,393.6,402.1,0.2386,207.53,16.87
"desocupados","05-Mata de Minas Gerais","AR(2)",6,-193.79,401.5,411.3,0.242,212.249,17.08
"desocupados","05-Mata de Minas Gerais","AR(3)",7,-199.56,415.7,426.8,0.2735,215.664,16.11
"desocupados","05-Mata de Minas Gerais","AR(4)",8,-207.76,434.9,447.1,0.361,227.959,14.93
"desocupados","05-Mata de Minas Gerais","AR(5)",9,-214.66,451.6,464.9,0.4212,215.334,-48.34
"desocupados","05-Mata de Minas Gerais","AR(6)",10,-221.83,469,483.2,0.5168,241.399,-191.83
"desocupados","05-Mata de Minas Gerais","MA(1)",5,-193.3,397.9,406.4,0.4794,213.567,16.48
"desocupados","05-Mata de Minas Gerais","MA(2)",6,-198.51,410.9,420.7,0.2759,217.45,16.96
"desocupados","05-Mata de Minas Gerais","MA(3)",7,-204.7,425.9,437,0.281,215.358,16.35
"desocupados","05-Mata de Minas Gerais","MA(4)",8,-211.07,441.5,453.7,0.4015,249.336,15.36
"desocupados","05-Mata de Minas Gerais","MA(5)",9,-216.46,455.2,468.5,0.3705,200.323,-43.51
"desocupados","05-Mata de Minas Gerais","MA(6)",10,-223.3,472,486.1,0.4124,224.927,-173.35
"desocupados","05-Mata de Minas Gerais","MA(4) desenho",8,-208.47,436.3,448.6,0.7118,226.11,4.64
