"estrato","processo","sigma2_R","rrse","vicio"
"01-Belo Horizonte","AR(1)",0.8061,4.05,-0.27
"02-Colar e Entorno metropolitano de BH","AR(1)",7.0885,4.64,-0.15
"03-Sul de Minas","AR(1)",5.0512,19.53,-0.61
"04-Triângulo Mineiro","AR(1)",8.755,22.69,-2.5
"05-Mata de Minas Gerais","AR(1)",11.6196,15.59,-0.66
"06-Norte de Minas","AR(1)",3.8825,11.53,-1.22
"07-Vale do Rio Doce","AR(1)",1.8018,22.95,-1.63
"08-Central","AR(1)",3.3652,16.04,-1.32
