"indicador","estrato","processo","sigma2_L","sigma2_R","sigma2_S","sigma2_I","sigma2_e","convergencia","pert_melhora","pert_total","plano_S","plano_I","loglik","rrse","vicio","shapiro","ljung","H_p","dp_irregular"
"desocupados","01-Belo Horizonte","AR(1)",0.0482510826765303,18.4913933772029,2.71575483546444e-06,2.71381051710469e-06,0.9052406911,0,0,16,0.000266224870642873,4.42858237192922e-07,-195.791965931383,11.8691373566725,-0.163761721784693,0.976896759872531,0.651773664508693,0.633327575367642,1.64068347040199e-07
"desocupados","02-Colar e Entorno metropolitano de BH","MA(1)",0.0160509153611787,102.749365845331,1.10314549247233e-07,4.35183690461279e-07,0.852436733307517,52,0,16,6.71099232647521e-05,9.07364904492169e-05,-219.608640084608,6.84575782391795,0.185804775546061,0.462224027065073,0.0529830165147875,0.711494630833998,1.67331895083447e-08
"desocupados","03-Sul de Minas","AR(1)",82.4451125589412,1.18482399838678,5.58811168265396e-07,3.04120833830457e-07,0.846708174375,0,0,16,0.000196013652441707,9.88453260220012e-06,-199.271589164391,11.6985426380965,-1.27256711774568,0.0916801983454837,0.0606854180637207,0.879251086405835,1.64343840912992e-08
"desocupados","04-Triângulo Mineiro","AR(1)",0.0246368205169204,8.38910980659349,2.13586947040047e-07,8.85020417733398e-07,0.951717408711,52,0,16,6.35116655018919e-05,1.05800204721618e-05,-194.625610854728,21.7491227600382,-1.02910182462197,0.0538528424637998,0.457674443667046,0.961046481529714,4.4080750498143e-08
"desocupados","05-Mata de Minas Gerais","AR(1)",46.8066933072775,0.521080009598769,2.2460970637527e-08,3.01726592890725e-07,0.904596852124,0,0,16,-6.459956694016e-07,1.15872908281744e-05,-191.159368559968,16.8560536328431,-1.41478764811133,0.60874882911829,0.238491988819379,0.649677323015772,1.93504409311527e-08
"desocupados","06-Norte de Minas","AR(1)",127.420691054818,1.40800583284653,2.376705559203e-05,5.51441694060822e-07,0.797608885359,52,0,16,-0.00388532295286836,1.55930993059883e-05,-208.1971364703,9.12904693574909,-0.573648774857656,0.714087048821657,0.084817997866844,0.721376396469036,2.68708362861329e-08
"desocupados","07-Vale do Rio Doce","AR(1)",112.015992247343,1.10112259028398,3.66174640496224e-07,3.78201203208591e-07,0.686281268764,0,0,16,4.06696003665274e-05,1.1963348356403e-05,-199.899534106469,6.14977374041344,-1.36658632911892,0.944110208734846,0.827202591765083,0.0996535784416408,2.22586542810988e-08
"desocupados","08-Central","AR(3)",0.0306247727833517,21.854709311813,2.71361399515802e-06,2.72075195196709e-06,0.906204606537347,0,0,16,0.000938150852306308,1.3914570132556e-05,-208.183337533739,11.6655372969649,-0.84900821949326,0.726840838633115,0.0927529564885289,0.130018648724346,1.46802793806566e-07
"ocupados","01-Belo Horizonte","AR(1)",429.660898556113,0.806070732324521,1.00910230805189e-06,2.65798302778822e-06,0.564019757056,52,0,16,0.000680991995551494,0.000626051259928317,-229.686643861405,4.01835214226945,-0.294897580828245,1.60003136188145e-05,0.176691176077435,0.527375956158946,8.83101439077631e-08
"ocupados","02-Colar e Entorno metropolitano de BH","AR(1)",826.371052388887,6.78830736328,1.01542031523579e-06,3.4029090158579e-06,0.553411197471,52,0,16,-0.000215286272037929,0.000718005714787751,-248.248744218089,4.58914343046323,-0.198659008176157,0.00373122767643741,0.0526540016431247,0.164450120263465,7.75269270967371e-08
